,EWP,MyPortfolio
2021-06-28,10000.0,10000.0
2021-07-27,10225.411996434024,10461.25278500863
2021-08-24,10425.192669763179,10795.90992183942
2021-09-22,10119.010068528032,10558.344830736189
2021-10-20,10546.897041877859,10742.44601617556
2021-11-17,10865.594110430433,11270.302925005446
2021-12-16,10775.2370112331,11570.154955570713
2022-01-14,10912.255114123198,11073.625046022647
2022-02-14,10419.91360485692,10546.302212757257
2022-03-15,9859.127496680172,9775.613543120575
2022-04-12,10343.862969567012,10460.685835590722
2022-05-11,9422.293709550842,9552.621639858024
2022-06-09,9793.78848463735,9460.488692687586
2022-07-11,9257.525661209413,9213.245092647694
2022-08-08,9838.615766597599,10248.691387419596
2022-09-06,9358.6531669436,9552.988933588487
2022-10-04,8741.255352527005,8762.037271273586
2022-11-01,9447.590873204843,9282.387015740538
2022-11-30,9831.077127173314,8991.108239827214
2022-12-29,9470.41512850291,8450.928016860715
2023-01-30,10172.355882301017,9248.998001673646
2023-02-28,9954.063377568205,8912.854692422667
2023-03-28,9818.879808638747,9169.623203506653
2023-04-26,10053.991398808701,9684.55390703629
2023-05-24,10110.070400271048,10009.523850501044
2023-06-23,10566.401218314504,10933.573474048964
2023-07-24,11079.03232660381,11390.331192959571
2023-08-21,10735.214009773163,10953.092719534763
2023-09-19,10920.589942866896,11331.53097620745
2023-10-17,10599.034628707224,11054.430113948647
2023-11-14,10719.67249307515,11366.616291810877
2023-12-13,11461.924604314643,12232.165837654351
2024-01-12,11875.272542200799,12524.855546886569
2024-02-12,12241.904890161686,12826.58007331629
2024-03-12,12609.783761384133,13014.709105670443
2024-04-10,12748.48182635234,12467.524701605485
2024-05-08,12665.4831189585,12387.917429749541
2024-06-06,12867.01838456207,12611.38939949665
2024-07-08,13149.288202451107,13350.77436631611
2024-08-05,13214.357707858064,13843.093824516975
2024-09-03,14012.15765180014,14402.618063476646
2024-10-01,14340.106257089978,14646.051139727844
2024-10-29,14504.076516577396,14695.194041169174
2024-11-26,15150.78282445237,15298.781806295356
2024-12-26,15194.48312994987,15540.485303724556
